genNum,genMean,genBest
0,190413.14,204929
1,242454.32,254052
2,262429.83,270780
3,276307.48,282967
4,286171.15,291933
5,293017.74,296378
6,297239.89,300402
7,299997.7,303839
8,301932.68,304181
9,302874.31,305002
10,303670.18,305624
11,303714.92,305113
12,303766.19,305363
13,303614.55,305640
14,303580.07,305375
15,303754.15,305051
16,303623.76,305487
17,303705.88,305194
18,303746.45,305637
19,303772.39,305306
20,303697.86,305738
21,303727.75,305088
22,303678.2,305444
23,303484.72,305536
24,303651.21,305158
25,303688.87,305724
26,303559.57,305302
27,303599.5,305691
28,303544.85,305071
29,303777.53,305337
30,303577.0,305438
31,303725.59,305508
32,303541.24,305417
33,303729.4,305378
34,303722.87,305215
35,303670.28,305766
36,303804.76,305536
37,303662.31,305515
38,303643.01,305210
39,303619.25,305583
40,303598.97,305261
41,303620.71,305107
42,303645.13,305536
43,303723.66,305796
44,303688.61,305258
45,303735.07,305415
46,303636.25,305367
47,303729.55,305221
48,303556.93,305282
49,303571.85,305348
50,303526.2,305579
51,303768.45,305628
52,303888.7,305576
53,303533.39,305635
54,303605.81,305194
55,303663.62,305798
56,303795.16,305278
57,303681.02,305708
58,303638.25,305271
59,303673.93,305063
60,303685.14,305516
61,303788.86,305528
62,303702.36,305315
63,303719.59,305555
64,303666.02,305096
65,303813.68,305592
66,303601.94,305426
67,303684.12,305207
68,303746.41,305292
69,303642.57,305615
70,303727.81,305543
71,303736.6,305678
72,303605.12,305971
73,304248.13,305848
74,304343.29,305802
75,304281.09,305550
76,304228.21,305581
77,304314.46,305778
78,304369.55,305703
79,304224.98,305793
80,304323.27,305548
81,304404.31,305665
82,304191.38,305456
83,304253.18,305586
84,304128.37,305899
85,304234.19,305721
86,304318.11,305930
87,304258.9,305447
88,304314.86,305825
89,304322.22,305567
90,304580.13,305874
91,304534.39,306032
92,304612.22,306055
93,304541.13,306011
94,304662.91,306147
95,304483.74,305735
96,304554.13,305477
97,304674.48,305826
98,304735.55,305933
99,304665.18,306099
